id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1413324,"Publiczna Szkoła Podstawowa, Mokrzyska ul. Wiślana 47, 32-800 Brzesko",612,224,1476849,94,387
1413349,"Publiczna Szkoła Podstawowa, Gnojnik 336, 32-864 Gnojnik",653,128,1476878,200,234
1413401,"Miejskie Centrum Kultury i Sztuki w Chrzanowie, ul. Władysława Broniewskiego 4, 32-500 Chrzanów",226,295,1476923,216,323
1413406,"Szkoła Podstawowa Nr 10 w Chrzanowie, ul. Kardynała Stefana Wyszyńskiego 19, 32-500 Chrzanów",182,314,1476936,155,281
1413425,"Miejskie Centrum Medyczne w Libiążu, ul. 9 Maja 2, 32-590 Libiąż",330,352,1476961,188,217
1413432,"Szkoła Podstawowa Nr 2 w Libiążu, pl. Plac Zwycięstwa 2, 32-590 Libiąż",320,350,1476955,283,151
1413504,"Zespół Szkolno-Przedszkolny w Radgoszczy, pl. św. Kazimierza 10, 33-207 Radgoszcz",620,72,1477042,0,125
1413546,"Zespół Szkolno – Przedszkolny, Libusza 679, 38-306 Libusza",694,256,1477087,221,418
1413552,"Zespół Szkół Ogólnokształcących, ul. Długoszowskich 1, 38-350 Bobowa",756,213,1477093,249,387
1413582,"Szkoła Podstawowa im. Księdza Stanisława Pękali, Szalowa 16, 38-331 Szalowa",373,53,1477124,331,46
1413627,"Gminne Centrum Edukacji w Igołomi (przedszkole samorządowe w Igołomi), Igołomia 252, 32-125 Wawrzeńczyce",234,100,1477171,197,78
1413654,"Dom Ludowy w Przegini, Przeginia 116a, 32-049 Przeginia",646,110,1477197,85,278
1413683,"Szkoła Podstawowa Nr 1 w Krzeszowicach, ul. Długa 22, 32-065 Krzeszowice",260,322,1477224,243,367
1413812,"Gminny Ośrodek Kultury i Sportu w Wielkiej Wsi z siedzibą w Białym Kościele, ul. Królowej Jadwigi 4, 32-089 Biały Kościół",260,159,1477360,108,69
1413873,"Szkoła Podstawowa Nr 2, ul. Józefa Piłsudskiego 91, 34-600 Limanowa",281,87,1477425,267,137
1413876,"Zespół Szkolno – Przedszkolny Nr 1, ul. Marii Konopnickiej 4, 34-600 Limanowa",453,161,1477423,291,194
1413908,"Szkoła Podstawowa Nr 1, Kamienica 490, 34-608 Kamienica",638,95,1477466,7,170
1413923,"Szkoła Podstawowa Nr 1 im. Bohaterów Westerplatte, Stara Wieś 549, 34-600 Limanowa",766,116,1477480,276,245
1413927,"Szkoła Podstawowa im. Stanisława Wyspiańskiego, Mordarka 204, 34-600 Limanowa",762,160,1477484,267,310
1413929,"Szkoła Podstawowa Nr 1 im. Jana Pawła II, Męcina 530, 34-654 Męcina",644,206,1477486,23,347
1413943,"Szkoła Podstawowa, Łukowica 285, 34-606 Łukowica",707,106,1477500,101,207
1413945,"Świetlica Wiejska, Przyszowa 605, 34-604 Przyszowa",703,136,1477502,143,258
1413955,"Szkoła Podstawowa Nr 1, Lubomierz 345, 34-736 Lubomierz",718,50,1477512,51,97
1413962,"Zespół Placówek Oświatowych, Konina 211, 34-735 Niedźwiedź",612,37,1477521,44,72
1414002,"Szkoła Podstawowa Nr 1 w Kozłowie, Kozłów 303, 32-241 Kozłów",236,68,1477566,147,36
1414065,"Szkoła Podstawowa w Stadnikach, Stadniki 148, 32-410 Dobczyce",205,27,1477638,204,82
1414078,"Szkoła Podstawowa w Tenczynie, Tenczyn 171, 32-433 Lubień",694,90,1477645,197,165
1414080,"Szkoła Podstawowa w Skomielnej Białej, Skomielna Biała 1, 32-434 Skomielna Biała",748,180,1477647,234,328
1414093,"Szkoła Podstawowa w Jaworniku, Jawornik 293, 32-400 Myślenice",755,292,1477661,334,601
1414095,"Zespół Placówek Oświatowych w Głogoczowie, Głogoczów 297, 32-444 Głogoczów",673,335,1477663,212,639
1414096,"Szkoła Podstawowa w Krzyszkowicach, Krzyszkowice 368, 32-445 Krzyszkowice",665,253,1477664,199,467
1414111,"Szkoła Podstawowa w Trzebuni, Trzebunia 444, 32-438 Trzebunia",643,155,1477685,47,294
