id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1406407,"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław",168,571,1469517,548,157
1406407,"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław",168,571,1469518,471,518
1406408,"Zespół Szkolno-Przedszkolny nr 9, ul. Ludwika Solskiego 13, 52-401 Wrocław",237,846,1469520,496,412
1406408,"Zespół Szkolno-Przedszkolny nr 9, ul. Ludwika Solskiego 13, 52-401 Wrocław",237,846,1469521,452,225
1406409,"Zespół Szkolno-Przedszkolny nr 9, ul. Ludwika Solskiego 13, 52-401 Wrocław",209,666,1469520,496,412
1406409,"Zespół Szkolno-Przedszkolny nr 9, ul. Ludwika Solskiego 13, 52-401 Wrocław",209,666,1469521,452,225
1406410,"Zespół Szkolno-Przedszkolny nr 9, ul. Mariana Morelowskiego 43, 52-429 Wrocław",248,855,1469522,441,179
1406411,"Sportowa Szkoła Podstawowa nr 46, ul. Ścinawska 21, 53-628 Wrocław",200,518,1469523,461,163
1406411,"Sportowa Szkoła Podstawowa nr 46, ul. Ścinawska 21, 53-628 Wrocław",200,518,1469524,284,458
1406412,"Sportowa Szkoła Podstawowa nr 46, ul. Ścinawska 21, 53-628 Wrocław",136,267,1469523,461,163
1406413,"Sportowa Szkoła Podstawowa nr 46, ul. Ścinawska 21, 53-628 Wrocław",137,321,1469523,461,163
1406417,"Elektroniczne Zakłady Naukowe, ul. Braniborska 57, 53-680 Wrocław",290,457,1469529,521,15
1406422,"Elektroniczne Zakłady Naukowe, ul. Braniborska 57, 53-680 Wrocław",170,273,1469529,521,15
1406423,"Elektroniczne Zakłady Naukowe, ul. Braniborska 57, 53-680 Wrocław",159,296,1469529,521,15
1406424,"Zespół Szkół nr 20, ul. Kłodnicka 36, 54-218 Wrocław",270,585,1469536,494,129
1406425,"Zespół Szkół nr 20, ul. Kłodnicka 36, 54-218 Wrocław",266,485,1469536,494,129
1406426,"Zespół Szkół nr 20, ul. Kłodnicka 36, 54-218 Wrocław",300,580,1469536,494,129
1406427,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",224,633,1469539,434,3
1406427,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",224,633,1469540,498,73
1406427,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",224,633,1469541,526,173
1406427,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",224,633,1469542,539,218
1406428,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",274,671,1469539,434,3
1406428,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",274,671,1469540,498,73
1406428,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",274,671,1469541,526,173
1406428,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",274,671,1469542,539,218
1406429,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",265,689,1469539,434,3
1406429,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",265,689,1469540,498,73
1406429,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",265,689,1469541,526,173
1406429,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",265,689,1469542,539,218
1406430,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",279,741,1469539,434,3
1406430,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",279,741,1469540,498,73
1406430,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",279,741,1469541,526,173
1406430,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",279,741,1469542,539,218
1406431,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",289,611,1469539,434,3
1406431,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",289,611,1469540,498,73
1406431,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",289,611,1469541,526,173
1406431,"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",289,611,1469542,539,218
1406436,"Liceum Ogólnokształcące nr VI, ul. Hutnicza 45, 54-139 Wrocław",177,342,1469549,735,51
1406437,"Liceum Ogólnokształcące nr VI, ul. Hutnicza 45, 54-139 Wrocław",367,548,1469549,735,51
1406448,"Szkoła Podstawowa nr 5, ul. Jelenia 7, 54-242 Wrocław",297,721,1469560,651,502
1406448,"Szkoła Podstawowa nr 5, ul. Jelenia 7, 54-242 Wrocław",297,721,1469561,277,681
1406455,"Wrocławski Klub Formaty, ul. Samborska 3 - 5, 54-615 Wrocław",226,688,1469567,535,227
1406456,"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław",279,625,1469568,497,80
1406456,"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław",279,625,1469569,469,120
1406456,"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław",279,625,1469570,454,357
1406457,"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław",227,654,1469568,497,80
1406457,"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław",227,654,1469569,469,120
1406457,"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław",227,654,1469570,454,357
1406458,"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław",155,739,1469568,497,80
1406458,"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław",155,739,1469569,469,120
1406458,"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław",155,739,1469570,454,357
1406474,"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław",279,631,1469593,505,0
